Rank,Direction,Card Name,Set,Current Price USD,Prior Price USD,Change USD,Change Percent,Market Signal
227,Flat,The Walls of Ba Sing Se (Borderless),Avatar: The Last Airbender,32.00,33.00,-1.00,0.0%,EchoMTG price snapshot
228,Down,"Ozai, the Phoenix King (Borderless)",Avatar: The Last Airbender,46.00,29.00,17.00,-9.0%,EchoMTG market mover
229,Up,The Walls of Ba Sing Se,Avatar: The Last Airbender,24.00,26.00,-2.00,1.0%,EchoMTG market mover
230,Up,Fated Firepower (Borderless),Avatar: The Last Airbender,22.00,19.00,3.00,2.0%,EchoMTG market mover
231,Up,Redirect Lightning (Showcase),Avatar: The Last Airbender,25.00,18.00,7.00,11.0%,EchoMTG market mover
232,Down,Sozin's Comet (Borderless),Avatar: The Last Airbender,23.00,18.00,5.00,-2.0%,EchoMTG market mover
233,Down,Fire Lord Azula (Borderless),Avatar: The Last Airbender,23.00,17.00,6.00,-10.0%,EchoMTG market mover
234,Flat,Fated Firepower (Showcase),Avatar: The Last Airbender,20.00,17.00,3.00,0.0%,EchoMTG price snapshot
235,Down,Earthbending Student,Avatar: The Last Airbender: Eternal-Legal,25.00,,,-1.0%,EchoMTG market mover
236,Down,Deflecting Swat (Showcase),Avatar: The Last Airbender: Eternal-Legal,89.00,,,-1.0%,EchoMTG market mover
237,Flat,Fierce Guardianship (Showcase),Avatar: The Last Airbender: Eternal-Legal,72.00,,,0.0%,EchoMTG price snapshot
238,Up,The Banyan Tree - The Great Henge (Borderless),Avatar: The Last Airbender: Eternal-Legal,74.00,65.00,9.00,5.0%,EchoMTG market mover
239,Down,Force of Negation (Borderless),Avatar: The Last Airbender: Eternal-Legal,64.00,50.00,14.00,-6.0%,EchoMTG market mover
240,Down,Toph Earthbending Master (Extended Art),Avatar: The Last Airbender: Eternal-Legal,49.00,48.00,1.00,-1.0%,EchoMTG market mover
241,Down,Enlightened Tutor (Showcase),Avatar: The Last Airbender: Eternal-Legal,43.00,,,-9.0%,EchoMTG market mover
242,Down,Aang's Shelter - Teferi's Protection (Borderless),Avatar: The Last Airbender: Eternal-Legal,55.00,40.00,15.00,-5.0%,EchoMTG market mover
243,Down,Toph Earthbending Master,Avatar: The Last Airbender: Eternal-Legal,39.00,38.00,1.00,-4.0%,EchoMTG market mover
244,Down,Deadly Rollick (Showcase),Avatar: The Last Airbender: Eternal-Legal,36.00,,,-5.0%,EchoMTG market mover
245,Down,Worldly Tutor (Showcase),Avatar: The Last Airbender: Eternal-Legal,33.00,,,-12.0%,EchoMTG market mover
246,Up,The Soul Stone,Marvel's Spider-Man,141.00,108.00,33.00,2.0%,EchoMTG market mover
247,Down,Norman Osborn (Borderless),Marvel's Spider-Man,33.00,24.00,9.00,-3.0%,EchoMTG market mover
248,Up,Gwen Stacy (Borderless 0202),Marvel's Spider-Man,32.00,21.00,11.00,12.0%,EchoMTG market mover
249,Down,Norman Osborn,Marvel's Spider-Man,21.00,19.00,2.00,-3.0%,EchoMTG market mover
250,Up,Gwen Stacy (Borderless 0209),Marvel's Spider-Man,22.00,15.00,7.00,5.0%,EchoMTG market mover
